code_uic,libelle,fret,voyageurs,code_ligne,rg_troncon,pk,commune,departemen,idreseau,idgaia,x_l93,y_l93,x_wgs84,y_wgs84,c_geo.lon,c_geo.lat,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
87214221,Epfig,N,O,111000,1,012+510,EPFIG,BAS-RHIN,4055,2925a8be-dfbc-11e3-a2ff-01a464e0362d,1029458.3915999979,6816332.615699999,7.450428471070055,48.36371868266161,7.450428471070055,48.36371868266161,7.450428471070058,48.363718682637014,Feature,"[7.450428471070058, 48.363718682637014]",Point
87474569,St-Pol-de-Léon,N,O,447000,1,021+582,SAINT-POL-DE-LEON,FINISTERE,6647,d9aa1440-6667-11e3-89ff-01f464e0362d,186213.79980000108,6864598.82,-3.987357201391775,48.67682336139158,-3.9873572013917746,48.67682336139158,-3.98735720139178,48.67682336136859,Feature,"[-3.98735720139178, 48.67682336136859]",Point
87476606,Vannes,O,O,470000,1,565+755,VANNES,MORBIHAN,7097,d9b7621a-6667-11e3-89ff-01f464e0362d,268659.91369999945,6745143.283,-2.752403881216251,47.66520979265519,-2.752403881216251,47.66520979265519,-2.7524038812162557,47.66520979264332,Feature,"[-2.752403881216256, 47.66520979264332]",Point
87192302,Bénestroff,N,O,097000,1,056+092,BENESTROFF,MOSELLE,3180,294dd0ac-dfbc-11e3-a2ff-01a464e0362d,974831.8104000017,6873883.1063,6.750621173901005,48.9061919533545,6.7506211739010045,48.9061919533545,6.750621173901008,48.90619195333269,Feature,"[6.750621173901008, 48.90619195333269]",Point
87751230,Château-Arnoux-St-Auban,O,O,920000,1,306+940,CHATEAU-ARNOUX-SAINT-AUBAN,ALPES-DE-HAUTE-PROVENCE,6376,29daf81c-dfbc-11e3-a2ff-01a464e0362d,940114.7518000007,6333725.0011,5.997672021535323,44.06150235786747,5.9976720215353225,44.06150235786747,5.997672021535325,44.06150235784537,Feature,"[5.997672021535325, 44.06150235784537]",Point
87734731,Chamalières-sur-Loire,N,O,798000,1,081+608,CHAMALIERES-SUR-LOIRE,HAUTE-LOIRE,3567,d9c5c9a8-6667-11e3-89ff-01f464e0362d,777923.4052999988,6456786.495200001,3.992559029978426,45.20599098230012,3.9925590299784264,45.20599098230012,3.9925590299784273,45.20599098228111,Feature,"[3.992559029978427, 45.20599098228111]",Point
87783670,Belvezet,N,O,723000,1,674+319,MONT LOZERE ET GOULET,LOZERE,3176,d9db5dc8-6667-11e3-89ff-01f464e0362d,759704.5144999996,6385026.171799999,3.751807473339702,44.56175524510515,3.7518074733397024,44.56175524510515,3.7518074733397033,44.561755245084356,Feature,"[3.751807473339703, 44.561755245084356]",Point
87761163,Tain-l'Hermitage-Tournon,N,O,830000,1,598+900,TAIN-L'HERMITAGE,DROME,6921,e156edae-19bf-11e5-a6ff-01fc64e0362d,844779.9329999983,6443134.325599998,4.839863623624745,45.07228766988219,4.839863623624745,45.07228766988219,4.839863623624747,45.0722876698628,Feature,"[4.839863623624747, 45.0722876698628]",Point
87645002,Aurillac,O,O,720000,1,302+667,AURILLAC,CANTAL,3004,e13ddf92-19bf-11e5-a6ff-01fc64e0362d,655511.0326000005,6424835.006000001,2.436202111452767,44.92128287269628,2.436202111452767,44.92128287269628,2.4362021114527663,44.92128287267648,Feature,"[2.436202111452766, 44.92128287267648]",Point
87597740,Lavaufranche,O,O,699000,1,348+873,LAVAUFRANCHE,CREUSE,4889,e15dc246-19bf-11e5-a6ff-01fc64e0362d,643927.7282999977,6580618.890500002,2.271196018813131,46.323150373175736,2.2711960188131313,46.323150373175736,2.271196018813131,46.32315037315994,Feature,"[2.271196018813131, 46.32315037315994]",Point
